DateTime;ANBRIMEX;AQUATIC;BELMECA;BLANCHISSERIE;CAP;CONSOLIDATED;FRIANDA;GEMACO;GESTANET;INDUCTOTHERME;KYTOZIME;LADM;MIRIS;NEW;NRB;PASTI;PELZER;POMMEE;POURDEMAIN;RESA;ROEBBEN;RUTTEN;SNEL;TEMPCO;TRAVELEC;UPTR;VANDIJK
2017-01-01T00:00:00;0.5973248440000001;0.2722178516666667;0.06451612899999999;0.031869078333333335;0.15331171799999999;0.28354430399999997;0.10000000000000002;0.137741047;0.4458292413333333;0.00872093;0.118110236;0.014369445666666666;0.16915422866666666;0.17543859666666664;0.6648451733333333;0.120907568;0.3685909586666667;0.07040760666666666;0.042424242333333334;0.5256410256666667;0.15769124566666667;0.14688938299999998;0.05442176866666667;0.13058243466666666;0.34406841833333335;0.2931870776666667;0.03399070033333334
2017-01-01T01:00:00;0.5507363465;0.268350131;0.06612903225;0.031653747;0.155511811;0.28354430350000004;0.102631579;0.1342975205;0.4110566805;0.00799418575;0.11417322799999999;0.01162790675;0.1623134325;0.1875;0.66256830625;0.11306532650000001;0.3633539515;0.06940724225;0.04090909075;0.528846154;0.162386081;0.14480235175;0.051020408499999996;0.12872709599999999;0.33917983175;0.27031988;0.022126022
2017-01-01T02:00:00;0.5117856435;0.26823918175;0.0677419355;0.031007752000000003;0.1606067625;0.28670886075;0.0907894735;0.15392561974999996;0.38198479025000004;0.00872093;0.127952756;0.00907543975;0.16604477625000003;0.15789473675;0.67349726775;0.11911831875000001;0.36320372275;0.06937854599999999;0.0454545455;0.423076923;0.15244407625;0.14474248325;0.048752834499999995;0.128673874;0.33903959775000003;0.251201568;0.0203222705
2017-01-01T03:00:00;0.46772955549999995;0.26966613450000004;0.06612903225;0.0374677005;0.15493283949999997;0.28544303775;0.1013157895;0.1487603305;0.34910236025;0.00872093;0.12401574799999998;0.008082813749999999;0.16977611925000002;0.15460526325;0.6707650275;0.111466423;0.3651358585;0.069747619;0.0318181815;0.3966346155;0.1567937035;0.1455124705;0.060090703;0.1293583805;0.34084318775;0.22957736125;0.0193602695
2017-01-01T04:00:00;0.45864722375;0.27668064275;0.085483871;0.0374677005;0.1666280685;0.28227848099999997;0.102631579;0.13842975200000002;0.34232352075;0.00872093;0.118110236;0.00751559875;0.16604477575;0.17434210525;0.674863388;0.125171311;0.37463370900000004;0.07156188225000001;0.04999999999999999;0.41706730775;0.15741507849999997;0.14929751525;0.056122449000000005;0.13272322825;0.34970914125;0.22511944825000002;0.019961520249999996
2017-01-01T05:00:00;0.45265921075;0.28181974825;0.12741935475;0.0374677005;0.2432839275;0.28670886100000004;0.13421052625;0.14256198324999997;0.3378542085;0.011627907;0.122047244;0.00893363625;0.16977611925;0.16447368425;0.67759562825;0.10998172649999999;0.38159220825;0.07289108250000001;0.036363636;0.47235576925;0.15617232825;0.15207058825;0.056122448750000005;0.13518844824999998;0.356204688;0.22218033025;0.01863876875
2017-01-01T06:00:00;0.49001997825;0.2882111505;0.122580645;0.06072351425;0.42704955975000003;0.2879746835;0.142105263;0.13842975224999998;0.36573940825;0.01090116275;0.12992125975;0.017016449500000003;0.1735074625;0.2039473685;0.6803278685;0.1215166745;0.39024635425;0.0745441825;0.04090909075;0.5841346155;0.160107705;0.15551940400000003;0.06349206325000001;0.13825439275;0.3642830695;0.24051824875;0.043530543500000005
2017-01-01T07:00:00;0.36430650374999995;0.359629761;0.1322580645;0.062015504;0.52466419625;0.28670886075;0.15000000000000002;0.14876033075;0.36932601025;0.011627907;0.12992125975;0.02254679525;0.17164179100000002;0.20065789475;0.68989071025;0.1247144815;0.38589687525000005;0.30462507250000004;0.040909090749999995;0.5576923075;0.163628832;0.32547067575;0.071995465;0.32102611150000004;0.37921309825000005;0.33776634225;0.05784030775
2017-01-01T08:00:00;0.313699473;0.37829408924999997;0.12741935475;0.051033591999999996;0.46607225550000003;0.28607594925;0.134210526;0.14876033074999997;0.36104256075;0.011627907;0.12992125999999998;0.022263187749999996;0.17910447775;0.19736842124999998;0.683060109;0.11135221575000001;0.37829408924999997;0.37829408924999997;0.0318181815;0.5276442305;0.15513670275;0.37829408924999997;0.06632653050000001;0.37829408924999997;0.37829408924999997;0.36104256075;0.05675805675
2017-01-01T09:00:00;0.31395695;0.3639188347500001;0.0951612905;0.03940568475;0.37911069924999996;0.28544303800000004;0.1355263155;0.11363636375;0.36133889625;0.0101744185;0.10039370075;0.01942711275;0.1679104475;0.19736842100000002;0.6748633879999999;0.1190041115;0.3639188347500001;0.3639188347500001;0.027272727;0.3978365385;0.125517813;0.3639188347500001;0.06065759625;0.3639188347500001;0.3639188347500001;0.36133889625;0.037878787750000004
2017-01-01T10:00:00;0.3228811345;0.36466601425;0.070967742;0.0245478035;0.34576192675;0.285443038;0.128947368;0.054752066;0.37160990575;0.0101744185;0.0767716535;0.017583664;0.160447761;0.1875;0.6666666667500001;0.124600274;0.36466601425;0.36466601425;0.03636363625;0.33894230775;0.07125103549999999;0.36466601425;0.0527210885;0.36466601425;0.36466601425;0.37160990575;0.010221260250000001
2017-01-01T11:00:00;0.33210772725000004;0.3664982405;0.0677419355;0.0096899225;0.34159333025000005;0.28354430375000006;0.13421052625;0.01342975175;0.38222896325;0.00944767425;0.0472440945;0.019285309;0.166044776;0.1842105265;0.65163934425;0.127683874;0.3664982405;0.3664982405;0.0318181815;0.2560096155;0.008492129250000001;0.3664982405;0.051587301749999995;0.3664982405;0.3664982405;0.38222896325;0.0008417505
